ThermoNeRF,2.10, 2.76, 1.57, 1.88, 0.66, 0.91, 0.31, 0.38, 0.75
Plenoxels_t,0.87, 1.41, 0.11, 1.36, 0.40, 0.49, 1.00, 0.32, 0.39
Thermoxels,0.99, 1.15, 1.74, 5.29, 1.27, 0.74, 1.29, 8.87, 4.21
