ThermoNeRF, 0.92, 0.94, 0.98, 0.92, 0.88, 0.95, 0.97, 0.96, 0.95
Plenoxels_t, 0.92, 0.98, 0.96, 0.96, 0.93, 0.92, 0.97, 0.98, 0.97
Thermoxels ,0.83, 0.92, 0.88, 0.90, 0.82, 0.75, 0.86, 0.60, 0.72
